Company Name,Legal Name,Parent Company Name,Address,City,ZIP Code,County,Phone Number Combined,Website,Linked-In,Facebook,Instagram,Executive First Name,Executive Last Name,Executive Title,Executive Gender,Executive Ethnicity,Veteran Exemption,Company Description,Column1,Primary NAICS,Primary NAICS Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,Primary SIC Code,Primary SIC Description,Last Updated On,Years In Database
U-Haul Neighborhood Dealer,,U-HAUL HOLDING CO,8903 Riverview Dr,Saint Louis,63137,St Louis City,(314) 658-9191,Uhaul.Com,,,,Cameron,Luckett,Manager,Male,Western Europe,,"U-Haul Provides Truck Rentals, Trailers, Cargo Van And Pick-Up Truck Rentals For Local OR One Way Moves. Other Available Moving Day Tools Include Shipping Boxes And Moving Supplies, And U-Box Containers Via Online Reservation.",,53212016,"Truck, Utility Trailer, And Rv (Recreational Vehic",53212007,"Truck, Utility Trailer, And Rv (Recreational Vehic",53212010,"Truck, Utility Trailer, And Rv (Recreational Vehic",53212015,"Truck, Utility Trailer, And Rv (Recreational Vehic",751303,Truck Renting & Leasing,202603,5
U-Haul Neighborhood Dealer,,U-HAUL HOLDING CO,921 LA Beaume St,Saint Louis,63102,St Louis City,(314) 930-2623,Uhaul.Com,https://www.linkedin.com/company/u-haul-international-inc-,https://www.facebook.com/staplescanada/,,,,,,Uncoded,,"U-Haul Provides Truck Rentals, Trailers, Cargo Van And Pick-Up Truck Rentals For Local OR One Way Moves. Other Available Moving Day Tools Include Shipping Boxes And Moving Supplies, And U-Box Containers Via Online Reservation.",,53212016,"Truck, Utility Trailer, And Rv (Recreational Vehic",53212007,"Truck, Utility Trailer, And Rv (Recreational Vehic",53212010,"Truck, Utility Trailer, And Rv (Recreational Vehic",53212015,"Truck, Utility Trailer, And Rv (Recreational Vehic",751303,Truck Renting & Leasing,202510,6
U-Haul Neighborhood Dealer,,U-HAUL HOLDING CO,1523 North And South Rd,University City,63130,St Louis,(314) 667-4262,Uhaul.Com,https://www.linkedin.com/company/u-haul-international-inc-,https://www.facebook.com/uhaul,,,,,,Uncoded,,"U-Haul Provides Truck Rentals, Trailers, Cargo Van And Pick-Up Truck Rentals For Local OR One Way Moves. Other Available Moving Day Tools Include Shipping Boxes And Moving Supplies, And U-Box Containers Via Online Reservation.",,53212016,"Truck, Utility Trailer, And Rv (Recreational Vehic",53212007,"Truck, Utility Trailer, And Rv (Recreational Vehic",53212010,"Truck, Utility Trailer, And Rv (Recreational Vehic",53212015,"Truck, Utility Trailer, And Rv (Recreational Vehic",751303,Truck Renting & Leasing,202603,7
U-Haul Self Stge-Spanish Lake,,U-HAUL HOLDING CO,1740 Parker Rd,Saint Louis,63138,St Louis,(314) 400-2885,Uhaul.Com,https://www.linkedin.com/company/u-haul-international-inc-,https://www.facebook.com/uhaul,,,,,,Uncoded,,"U-Haul Has Everything For Your Local OR Long-Distance Move, Including Truck Rentals, Trailers, Cargo Vans, Pickup Trucks, And Self-Storage. Other Available Moving Solutions Include Portable U-Box Containers, Moving Help Providers, Hitch Installations, Moving And Shipping Boxes, Propane And Online Reservations.",,53212016,"Truck, Utility Trailer, And Rv (Recreational Vehic",49311002,General Warehousing And Storage,53113001,Lessors Of Miniwarehouses And Self-Storage Units,44133039,Automotive Parts And Accessories Retailers,751303,Truck Renting & Leasing,202604,38
U-Haul Stge-Moving-Downtown St,,U-HAUL HOLDING CO,418 S Tucker Blvd # 550,Saint Louis,63102,St Louis City,(314) 667-4239,Uhaul.Com,http://www.linkedin.com/company/u-haul-international-inc-,http://www.facebook.com/uhaul,,,,,,Uncoded,,"U-Haul Has Everything For Your Local OR Long-Distance Move, Including Truck Rentals, Trailers, Cargo Vans, Pickup Trucks, And Self-Storage. Other Available Moving Solutions Include Portable U-Box Containers, Moving Help Providers, Hitch Installations, Moving And Shipping Boxes, Propane And Online Reservations.",,53212016,"Truck, Utility Trailer, And Rv (Recreational Vehic",48411009,"General Freight Trucking, Local",49311002,General Warehousing And Storage,53113001,Lessors Of Miniwarehouses And Self-Storage Units,751303,Truck Renting & Leasing,202510,13
Uhls Cleaners,UHL'S CLEANERS,,1799 Chambers Rd,Saint Louis,63136,St Louis,(314) 869-1166,,,,,Young,Ki,Owner,Male,Far Eastern,,,,81232002,Drycleaning And Laundry Services (Except Coin-Oper,,,,,,,721201,Cleaners,202604,43
Ukraft Cafe-Catering-Downtown,,,701 Market St # P1,Saint Louis,63101,St Louis City,(314) 376-4352,Ukraftbrunchcafe.Com,,,,Matt,Ratz,Owner,Male,Western Europe,,,,72251117,Full-Service Restaurants,72251301,Limited-Service Restaurants,72232001,Caterers,,,581208,Restaurants,202501,4
ULTA Beauty At Target,,ULTA BEAUTY INC,900 S Grand Blvd,Saint Louis,63103,St Louis City,(314) 802-0434,Ulta.Com,,,,,,,,Uncoded,,,,45612001,"Cosmetics, Beauty Supplies, And Perfume Retailers",,,,,,,599992,Cosmetics & Perfumes-Retail,202604,3
Ultimate Construction,ULTIMATE CONSTRUCTION LLC,,2120 Vitadale Ct,Saint Louis,63136,St Louis,(314) 833-6116,,,,,Rick,Grant,Manager,Male,Western Europe,,,,23611512,New Single-Family Housing Construction (Except For,23611505,New Single-Family Housing Construction (Except For,,,,,152144,Construction Companies,202503,11
Ultimate Sounds & Security,,,8396 Page Ave,Saint Louis,63130,St Louis,(314) 429-6055,,,,,,,,,Uncoded,,,,42361063,"Electrical Apparatus And Equipment, Wiring Supplie",,,,,,,506304,Security Control Equip & Systems-Whls,202606,21
Ultra-Tek,INTERNATIONAL RESOURCE MANAGEMENT ENTERPRISES LLC,,1023 N Grand Blvd # 101,Saint Louis,63106,St Louis City,(314) 567-2024,Ultra-Tek.Net,,,,Amy,Pizinski,President,Female,Eastern European,,,,56111018,Office Administrative Services,,,,,,,874108,Project Management,202606,6
Umsl Baseball Field,,,West Dr,Saint Louis,63121,St Louis,(314) 516-5661,Umsltritons.Com,,,,,,,,Uncoded,,,,71131003,"Promoters Of Performing Arts, Sports, And Similar",,,,,,,794104,Stadiums Arenas & Athletic Fields,202403,10
UMSL Softball Field,,,Florissant Road & Rosedale Dr,Saint Louis,63121,St Louis,(314) 516-5661,Umsltritons.Com,,,,,,,,Uncoded,,,,71131003,"Promoters Of Performing Arts, Sports, And Similar",,,,,,,794104,Stadiums Arenas & Athletic Fields,202304,10
Um-St Louis-Gallery 210,,UNIVERSITY-MO BOARD-CURATORS,1 University Blvd,Saint Louis,63121,St Louis,(314) 516-5976,Umsl.Edu,,,,Terry,Suhre,Director,Male,Western Europe,,,,71211001,Museums,45992002,Art Dealers,71211009,Museums,,,841201,Museums,202112,15
Undeniable,,,800 Olive St # 521,Saint Louis,63101,St Louis City,(314) 440-2233,,http://www.linkedin.com/company/3356060,,,Crystal,Garcia,CEO,Female,Hispanic,,"Undeniable Is A St. Louis Digital Marketing Agency Specializing IN Marketing Strategy, Web Design, Wordpress Development, Content Strategy And Development, Seo, Social Media And Public Relations. We Are Industry Experts IN Working With Hubspot, Woo Commerce And The Divi Wordpress Theme. We Also Provide Custom Technology, Content And Promotional Solutions For Both Small Business And Enterprise Clients.",,54151217,Computer Systems Design Services,51621001,"Media Streaming Distribution Services, Social Netw",54161302,Marketing Consulting Services,54182004,Public Relations Agencies,737311,Website Design Service,202510,12
Under The Umbrella,UNDER THE UMBRELLA INC,,5580a Page Blvd,Saint Louis,63112,St Louis City,(314) 385-7401,Undertheumbrella.Com,,,,,,,,Uncoded,,,,45521908,All Other General Merchandise Retailers,,,,,,,539901,General Merchandise-Retail,202504,16
Underground Artistry,,,PO Box 142568,Saint Louis,63114,St Louis,(314) 651-4197,,,,,,,,,Uncoded,,,,54141003,Interior Design Services,,,,,,,738902,Interior Decorators Design & Consultants,201908,10
Underground Burger Bar,,,4505 Woodson Rd,Saint Louis,63134,St Louis,(314) 427-4700,Undergroundburgerbar.Com,,,,Nick,Eleven,Manager,Male,Uncoded,,,,72251117,Full-Service Restaurants,72251301,Limited-Service Restaurants,72241001,Drinking Places (Alcoholic Beverages),,,581208,Restaurants,202603,5
Unicom Arc Inc,UNICOM GROUP INC,,505 S Ewing Ave,Saint Louis,63103,St Louis City,(314) 535-7692,Unicomarc.Com,,,,Edward M,Finkelstein,Owner,Male,Not Available,,,,54182004,Public Relations Agencies,54191001,Marketing Research And Public Opinion Polling,,,,,874302,Public Relations Counselors,202408,11
Union & Ridge Automotive,,,1404 Union Blvd,Saint Louis,63113,St Louis City,(314) 361-0395,Unions.Org,,https://www.facebook.com/profile.php,,,,,,Uncoded,,,,48841006,Motor Vehicle Towing,,,,,,,754901,Wrecker Service,202510,20
Union Electric Co,UNION ELECTRIC CO,AMEREN CORP,1901 Chouteau Ave,Saint Louis,63103,St Louis City,(314) 621-3222,Amereninvestors.Com,,,,Michael L,Moehn,President,Male,Western Europe,,,,22112202,Electric Power Distribution,22112201,Electric Power Distribution,54161303,Marketing Consulting Services,99999005,Unclassified Establishments,491101,Electric Companies,202603,43
Union Station,,,1820 Market St # 500,Saint Louis,63103,St Louis City,(314) 421-6655,Stlouisunionstation.Com,,https://www.facebook.com/stlunionstation,,Rod,Bechtolt,Manager,Male,Western Europe,,,,53112008,Lessors Of Nonresidential Buildings (Except Miniwa,56151004,Travel Agencies,,,,,651201,Shopping Centers & Malls,202606,14
Unique Auto Spa,UNIQUE AUTO SPA LLC,,8396 Page Ave,Saint Louis,63130,St Louis,(314) 528-6445,Unique-Auto-Spa.Business.Site,,,,Tim,Coleman,Owner,Male,Western Europe,,,,81119208,Car Washes,,,,,,,754201,Car Washing & Polishing,202309,9
Unique Inventive Strategies,,,6713 West Florissant Ave # 102,Saint Louis,63136,St Louis,(314) 339-5147,Homehealth.Idealdesignandsolutions.Com,,https://www.facebook.com/uishc33,,,,,,Uncoded,,,,45619904,All Other Health And Personal Care Retailers,62161001,Home Health Care Services,62399002,Other Residential Care Facilities,99999005,Unclassified Establishments,599920,Home Health & Health Care Equipment,202605,12
Unique Market,,,9641 Saint Charles Rock Rd,Saint Louis,63114,St Louis,(314) 427-3600,,,,,Tony,Singh,President,Male,South Asian,,,,44513101,Convenience Retailers,44921054,Electronics And Appliance Retailers,54187005,Advertising Material Distribution Services,,,541103,Convenience Stores,202504,23
Unique Smoke Shop,,,9633 Saint Charles Rock Rd,Saint Louis,63114,St Louis,(314) 733-5004,,,,,,,,,Uncoded,,,,45999102,"Tobacco, Electronic Cigarette, And Other Smoking S",,,,,,,599301,Cigar Cigarette & Tobacco Dealers-Retail,202403,8
Unitech Consulting LLC,UNITECH CONSULTING LLC,,3207 Washington Ave,Saint Louis,63103,St Louis City,(314) 773-7200,Chameleonis.Com,,http://www.facebook.com/chameleonintegratedservices,,,,,,Uncoded,,,,54151902,Other Computer Related Services,44921069,Electronics And Appliance Retailers,99999005,Unclassified Establishments,,,737999,Computer Related Services NEC,202510,15
United Access,UA-WAV LLC,,9389 Natural Bridge Rd,Berkeley,63134,St Louis,(314) 426-1010,Braunability.Com,http://www.linkedin.com/company/united-access,https://www.facebook.com/103026490309191,,Richard,May,Owner,Male,Western Europe,,"United Access IN St. Louis, Missouri Is A Quality Mobility Dealer For Wheelchair Accessible Minivans, Handicap Van Conversions And Vehicle Equipment. We Offer New And Used Braunability, Vmi, El Dorado And Mobility Svm Vehicles And Full-Size Wheelchair Lifts. We Also Offer Scooter Lifts From Bruno, Harmar, Adapt Solutions And More. IN Addition To Vehicles And Wheelchair Lifts, We Have A Full Line Of Driving Equipment From Simple Hand Controls, Left Foot Accelerators And Spinner Knobs, To High Tech Driving Equipment. With More Than 70 Years Of Combined Experience IN The Mobility Industry, Our Staff Is Committed To Finding You The Best Solution To Fit Your Needs. Our Certified Technicians And Sales Staff Are Among The Best And Most Experienced IN The Industry. We Also Have A Variety Of Wheelchair Accessible Rentals Available For Your Short Term Needs, And Offer Convenient Pick Up OR Delivery Options.",,48599101,Special Needs Transportation,42345035,"Medical, Dental, And Hospital Equipment And Suppli",42361073,"Electrical Apparatus And Equipment, Wiring Supplie",44112003,Used Car Dealers,411901,Handicapped Transportation Service,202606,30
United Access Of Champaign LLC,UNITED ACCESS OF CHAMPAIGN LLC,,9389 Natural Bridge Rd,Saint Louis,63134,St Louis,(314) 989-1010,Braunability.Com,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202607,6
United Access Of Columbia MO,,,9389 Natural Bridge Rd,Saint Louis,63134,St Louis,(314) 989-1010,Braunability.Com,,,,,,,,Uncoded,,,,44112003,Used Car Dealers,99999005,Unclassified Establishments,,,,,552198,Automobile/Trucks Dealers-Used,202603,6
United Access-SPRINGFIELD Mo,,,9389 Natural Bridge Rd,Saint Louis,63134,St Louis,(314) 989-1010,Braunability.Com,,,,,,,,Uncoded,,,,33611005,Automobile And Light Duty Motor Vehicle Manufactur,,,,,,,371198,Motor Vhcls/Passenger Car Bodies (Mfrs),202604,6
United Fire Alarm Systems,UNITED FIRE ALARM SYSTEMSLLC,,9021 Riverview Dr # 100,Saint Louis,63137,St Louis City,(314) 772-0070,Unitedfirealarmsystems.Com,,http://www.facebook.com/unitedfirealarmsystems,,,,,,Uncoded,,,,42361032,"Electrical Apparatus And Equipment, Wiring Supplie",,,,,,,506308,Fire Alarm Systems (Whls),202504,10
United Fruit & Produce,UNITED FRUIT & PRODUCE CO,,55 Produce Row,Saint Louis,63102,St Louis City,(314) 621-7639,Unitedmo.Com,,,,Charles,Gallagher Jr,President,Male,Western Europe,,,,42448009,Fresh Fruit And Vegetable Merchant Wholesalers,99999005,Unclassified Establishments,,,,,514801,Fruits & Vegetables-Wholesale,202606,37
United HVAC,,,,Saint Louis,63112,St Louis City,(314) 380-5180,,,,,Wesley K,Jackson,Owner,Male,Western Europe,,,,23822020,"Plumbing, Heating, And Air-Conditioning Contractor",,,,,,,171102,Heating Contractors,202506,3
United Industries Inc,UNITED INDUSTRIES INC,,55 Produce Row,Saint Louis,63102,St Louis City,(314) 259-4902,,,http://www.facebook.com/buydomains/?ref=ts,,Susan,Brewster,Manager,Female,Western Europe,,,,33999936,All Other Miscellaneous Manufacturing,,,,,,,399903,Manufacturers,202504,11
United Mart,,,949 Chambers Rd,Saint Louis,63137,St Louis,(314) 388-5606,,,,,Chris,Patel,Manager,Male,South Asian,,,,45712003,Other Gasoline Stations,45712006,Other Gasoline Stations,,,,,554101,Service Stations-Gasoline & Oil,202607,17
United Parcel Svc,,UNITED PARCEL SVC INC,4121 Laguardia Dr,Saint Louis,63134,St Louis,(314) 731-1199,Ups.Com,,,,Timothy,Moore,Manager,Male,Western Europe,,,,56191002,Packaging And Labeling Services,48111201,Scheduled Freight Air Transportation,,,,,738988,Packaging Service,202603,13
United Parcel Svc,,UNITED PARCEL SVC INC,6111 James S Mcdonnell Blvd,Saint Louis,63134,St Louis,(314) 731-1199,Ups.Com,,,,,,,,Uncoded,,,,56191002,Packaging And Labeling Services,54199009,"All Other Professional, Scientific, And Technical",,,,,738988,Packaging Service,202604,10
United Plumbing Svc,,,129 Bellefontaine Rd,Saint Louis,63138,St Louis,(314) 831-9956,,,,,,,,,Uncoded,,,,23822025,"Plumbing, Heating, And Air-Conditioning Contractor",,,,,,,171105,Plumbing Contractors,202510,15
United Provisions,,,6241 Delmar Blvd,Saint Louis,63130,St Louis,(314) 833-5699,Unitedprovisions.Com,,https://www.facebook.com/unitedprovisionsstlouis,,James,Mcevoy,Operation Exec,Male,Western Europe,,,,44511003,Supermarkets And Other Grocery Retailers (Except C,44532004,"Beer, Wine, And Liquor Retailers",,,,,541105,Grocers-Retail,202607,12
United Refrigeration Inc,UNITED REFRIGERATION,UNITED REFRIGERATION INC,601 Edwin St,Saint Louis,63103,St Louis City,(314) 371-2773,Uri.Com,,,,Tim,Forsyth,Manager,Male,Western Europe,,,,42374006,Refrigeration Equipment And Supplies Merchant Whol,23822002,"Plumbing, Heating, And Air-Conditioning Contractor",33341504,Air-Conditioning And Warm Air Heating Equipment An,42373003,Warm Air Heating And Air-Conditioning Equipment An,507802,Refrigerating Equip Supls & Parts (Whls),202603,32
United Region Transit Svc LLC,UNITED REGION TRANSIT SVC LLC,,1014 Thatcher Ave,Saint Louis,63135,St Louis,Not Available,Ussbchamber.Org,,,,,,,,Uncoded,,,,54161127,Administrative Management And General Management C,48511901,Other Urban Transit Systems,99999005,Unclassified Establishments,,,874269,Administrative & General Management Consultin,202605,9
United Rentals-Coml Truck,,UNITED RENTALS INC,2303 Papin St,Saint Louis,63103,St Louis City,(314) 978-0131,Unitedrentals.Com,,https://facebook.com/302957496223698,,,,,,Uncoded,,"United Rentals Will Get You And Your Crew On The Road With Our Robust Fleet Of Commercial And Industrial Truck Rentals. Whether You Need A Pickup Truck, Dump Truck, Cargo Van OR Trailer Rental For A Day, Month OR Year, We Will Work With You To Ensure You Have The Trucks You Need, When You Need Them. We Primarily Carry Chevy, Dodge And Ford Brands From Small To Heavy Duty That Have The Torque To Haul Everything You Need On And Around Your Jobsite. Included With Our -Ton And -Ton Trucks Is A Tow Package That Can Be Customized With Various Hitch Types Determined By The Load Size. Plus, Our Passenger Vans Can Transport Up To 15 People To Get Your Team From Site To Site. Visit Your United Rentals Commercial Trucks Branch Today.",,53231003,General Rental Centers,53241206,"Construction, Mining, And Forestry Machinery And E",53249002,Other Commercial And Industrial Machinery And Equi,53231004,General Rental Centers,735910,Rental Service-Stores & Yards,202606,4
United Rentals-Eqpt-Tool Rntls,,UNITED RENTALS INC,2629 Chouteau Ave,Saint Louis,63103,St Louis City,(314) 389-4030,Unitedrentals.Com,,https://www.facebook.com/castlewoodscc,,Amanda,Benz,Site Manager,Female,Western Europe,,"United Rentals Has The Industry's Largest Fleet Of Heavy Equipment And Tools For Rent. Our Rental Inventory Features Aerial Equipment Like Boom Lifts And Scissor Lifts, Forklifts Including Telehandlers And Warehouse Forklifts, Earthmoving Equipment Including Skid Steers, Excavators, And More. From Power Tools And Work Lights To Air Compressors And Welders, Whatever Your Team Needs Onsite, We Can Provide Expertly-Maintained And Inspected Equipment Where And When You Need It. We Also Offer A Wide Array Of Well-Maintained Used Construction Equipment For Sale From Popular Manufacturers Like Genie, Skytrak And Case. Whether You Are Looking To Rent OR Buy, Visit United Rentals For All Of Your Equipment Needs Today.",,53231003,General Rental Centers,33312009,Construction Machinery Manufacturing,42381002,Construction And Mining (Except Oil Well) Machiner,42383050,Industrial Machinery And Equipment Merchant Wholes,735910,Rental Service-Stores & Yards,202507,11
United Rentals-Flooring,,UNITED RENTALS INC,2303 Papin St,Saint Louis,63103,St Louis City,(314) 827-9667,Unitedrentals.Com,,,,,,,,Uncoded,,"United Rentals Facilities & Flooring Solutions Is Your Best Source For Surface Preparation Equipment Rentals, Including Sanders, Flooring Scrubbers And Sweeper Rentals For Your Projects And Contracts. We Offer A Large Fleet Of Heavy-Duty Concrete Grinders, Concrete Floor Blasters And Tile Scrapers For Construction And Preparation Work. We Also Provide Walk-Behind OR Ride-On Floor Sweepers And Scrubbers For Your Facilitys Cleaning, Polishing And Maintenance Needs. Whether You Need Help With Concrete, Wood, Tile, Vinyl, Linoleum OR Laminate, You Can Save Time And Total Cleaning Costs With Our Efficient And Reliable Rental Equipment. Visit Your United Rentals Flooring & Facilities Branch Today To Get Started.",,53231003,General Rental Centers,42383035,Industrial Machinery And Equipment Merchant Wholes,42384095,Industrial Supplies Merchant Wholesalers,,,735910,Rental Service-Stores & Yards,202507,3
United Sons Of Thunder LLC,UNITED SONS OF THUNDER LLC,,10225 Lookaway Dr,Saint Louis,63137,St Louis City,(314) 388-4868,,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202411,8
United Specialty Alloys,UNITED SPECIALTY ALLOYS CO,,600 E Athlone Ave,Saint Louis,63147,St Louis City,(314) 241-7801,Unitedspecialtyalloys.Com,,,,Jeff,Zust,Owner,Male,Uncoded,,,,42351036,Metal Service Centers And Other Metal Merchant Who,,,,,,,505106,Steel-Distributors & Warehouses (Whls),202605,37
United Tax & Financial Svc,,,7100 Page Ave,Saint Louis,63133,St Louis,(314) 713-6396,Unitedtaxshop.Com,,,,,,,,Uncoded,,,,54121101,Offices Of Certified Public Accountants,54121301,Tax Preparation Services,54121903,Other Accounting Services,54121402,Payroll Services,872101,Accountants,202304,4
Unity Tax Svc,,,5874 Delmar Blvd,Saint Louis,63112,St Louis City,(314) 361-7222,Unitytaxsvc.Com,,https://www.facebook.com/unitytaxstl,,Rahwa,Osman,Owner,Female,Middle Eastern,,,,54121301,Tax Preparation Services,,,,,,,729101,Tax Return Preparation & Filing,202606,14
Univar Solutions,,APOLLO GLOBAL MANAGEMENT INC,8979 Seeger Industrial Dr,Saint Louis,63134,St Louis,(314) 522-6400,Univar.Com,http://www.linkedin.com/company/univar,http://www.facebook.com/univar,,Roger,Landmann,Director,Male,Western Europe,,"Univar Usa Among The Leading Chemical Distributors IN The Nation, Providing Chemicals And Related Chemical Distribution Services To The Electronics, Energy Sector, Food, Personal Care, Pest Control, Pharmaceutical And Waster Management Industries. Univar Usa Was Founded IN 1924 As A Brokerage That Bought And Sold Naval Stores, Paint, Raw Materials And Cotton Linters IN The Pacific Northwest. The Company Moved Into The Chemical Distribution Business And Grew Throughout The West And Into The Eastern United States. Univar Entered The Canadian Market IN 1950 And Europe IN 1991. Univar Usa Is Univar S Chemical Distribution Subsidiary IN The United States. Univar Is A Dutch Company Listed On The Euronext Amsterdam Stock Exchange As Univr. Univar Usa Distributes Chemical Products And Services From More Than 80 Locations Throughout The United States, Including One IN St. Louis. Univar Usa Is Headquartered IN Kirkland, Wash.",,42469020,Other Chemical And Allied Products Merchant Wholes,32513006,Synthetic Dye And Pigment Manufacturing,,,,,516916,Chemicals (Whls),202504,43
Universal Build,,,,Saint Louis,63118,St Louis City,(314) 792-4227,,,,,Leonetta,Nelson,Owner,Female,Western Europe,,,,23611512,New Single-Family Housing Construction (Except For,,,,,,,152144,Construction Companies,202408,3
Universal Display & Decorating,UNIVERSAL DISPLAY & DECORATING CO LLC,,4275 W Dr M L King Dr # D,Saint Louis,63113,St Louis City,Not Available,,,,,,,,,Uncoded,,,,54185004,Indoor And Outdoor Display Advertising,,,,,,,731901,Display Designers & Producers,201811,12
Universal Sewing Supply Inc,UNIVERSAL SEWING SUPPLY INC,,1011 E Park Industrial Dr,Saint Louis,63130,St Louis,(314) 862-0800,Universalsewing.Com,,,,David,Samuels,President,Male,Western Europe,,"Universal Sewing Supplies, Located IN St. Louis, Offers A Variety Of Industrial Sewing Related Equipment, Supplies And Parts To Customers IN The Sewing And Fabric Industries. Its Products Include Scissors, Foot Lifts, Light Fixtures, Thread And Tape Cutters, Electrification Systems, Pullers And Feeders, Tension-Less Unwinders, Backlatching Systems, Chain Cutters, Circular Guiding Attachments, Waste Removal Systems, Label Dispensers, Air Treadle And Knee Switches And Air Needle Coolers. Uss Products Are Sold Through Catalog And Telephone Order.",,33331087,Commercial And Service Industry Machinery Manufact,33522013,Major Household Appliance Manufacturing,42362027,"Household Appliances, Electric Housewares, And Con",42383047,Industrial Machinery And Equipment Merchant Wholes,355909,Special Industry Machinery NEC (Mfrs),202607,40
University Bookstore,,,1 University Blvd,Saint Louis,63121,St Louis,(314) 516-5763,Mubookstore.Com,,http://www.facebook.com/umsl.edu,,Stephanie,Eaton,Manager,Female,Western Europe,,,,45921005,Book Retailers And News Dealers,,,,,,,594201,Book Dealers-Retail,202504,15
University City Loop Community,,,6509 Delmar Blvd,Saint Louis,63130,St Louis,(314) 721-1181,Ucitymo.Org,,,,Jon,Bollinger,Other,Male,Western Europe,,,,54172006,Research And Development In The Social Sciences An,81341018,Civic And Social Organizations,,,,,873303,Foundation-Educ Philanthropic Research,202603,15
University City Public Library,,,6701 Delmar Blvd,Saint Louis,63130,St Louis,(314) 727-3150,Ucitylibrary.Org,,https://www.facebook.com/ucitylibrary,,Sally,Master,Director,Female,Western Europe,,,,51921006,Libraries And Archives,,,,,,,823106,Libraries-Public,202505,30
University-Mo Accounting Svc,,,308 Woods Hall,Saint Louis,63121,St Louis,(314) 516-5087,Umsl.Edu,,,,Faith,Lucas,Manager,Female,Western Europe,,,,54121903,Other Accounting Services,54121101,Offices Of Certified Public Accountants,,,,,872102,Accounting & Bookkeeping General Svc,202409,14
University-Mo-ST Louis Nttrm,,BOARD-TRUSTEES ST LOUIS UNIV,Clark Hall Dr & Groban Dr,Saint Louis,63121,St Louis,(314) 516-5661,Umsl.Edu,,,,,,,,Uncoded,,,,71394020,Fitness And Recreational Sports Centers,71131003,"Promoters Of Performing Arts, Sports, And Similar",,,,,799969,Swimming Pools-Public,202304,8
Unlimited Water Processing Inc,UNLIMITED WATER PROCESSING INC,,6891 Hazelwood Ave,Saint Louis,63134,St Louis,(888) 381-4466,Unlimitedwater.Net,,,,Ashley,Rauscher,Operations,Female,Western Europe,,,,56149907,All Other Business Support Services,,,,,,,738984,Water Treatment Equip Svc & Supls,202510,12
Untitled Bronze,,,3400 Locust St,Saint Louis,63103,St Louis City,Not Available,Racstl.Org,,,,Vanessa,Cooksey,President,Female,Western Europe,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202504,5
UOVO Wine-St Louis,,,3300 Samuel T Shepard Dr,Saint Louis,63103,St Louis City,(314) 667-5328,,https://www.linkedin.com/company/uovo-wine,https://www.facebook.com/uovo.wine,,Aidan,Young,Other,Male,Western Europe,,"Domaine Storage Is Now Uovo Wine. Uovo Wine's Elevated Wine Storage And Services Are Second To None. With State-Of-The-Art Refrigeration, Robust Security, And An Inviting Client Lounge, Uovo Wine - St. Louis Offers An Unparalleled Experience For Wine Collectors. Our Team Is On Call To Help You-Whether You Want To Manage Your Collection, Retrieve A Few Bottles For The Weekend, OR Plan A Wine-Tasting Event.",,44532005,"Beer, Wine, And Liquor Retailers",,,,,,,592103,Wines-Retail,202606,3
U-Pack,,ARCBEST CORP,8630 Hall St,Saint Louis,63147,St Louis City,(314) 869-3100,Upack.Com,https://www.linkedin.com/company/fingo-productions-inc-/,http://www.facebook.com/upack.com,,,,,,Uncoded,,"U-Pack, A Service Of Arcbest, Is The Convenient Self-Moving Service That Makes It Easier To Move Long Distances On A Budget. Load Your Belongings Into A Relocube Container OR Trailer, And U-Pack Handles The Driving. Since 1997, Weve Moved More Than 1.5 Million People Over 2 Billion Miles.",,48411009,"General Freight Trucking, Local",53212007,"Truck, Utility Trailer, And Rv (Recreational Vehic",,,,,421401,Movers,202606,12
Upbrand,,,200 N Broadway # 1510,Saint Louis,63102,St Louis City,(314) 615-6574,Upbrand.Com,,https://www.facebook.com/upbrandcreates,,Rachel,Geringer,Manager,Female,Western Europe,,,,54161304,Marketing Consulting Services,,,,,,,874248,Multi-Level Marketing,202605,12
Uphosltery Unlimited,UPHOLSTERY UNLIMITED,,8227 N Broadway,Saint Louis,63147,St Louis City,(314) 385-9740,,,,,,,,,Uncoded,,,,81142013,Reupholstery And Furniture Repair,,,,,,,764109,Upholsterers,202206,35
Upper Coaching & Consulting,,,PO Box 18883,Saint Louis,63118,St Louis City,(314) 312-2793,Uppercoaching.Org,,,,,,,,Uncoded,,,,71399002,All Other Amusement And Recreation Industries,,,,,,,799999,Amusement & Recreation NEC,202605,3
Uppluck LLC,UPPLUCK LLC,,500 S Ewing Ave,Saint Louis,63103,St Louis City,(314) 533-4646,,,,,Ahmed,Abusharbain,Exec Officer,Male,Middle Eastern,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202411,9
Upr Eshlon Cleaning LLC,UPR ESHLON CLEANING LLC,,3118 Rex Ave,Saint Louis,63114,St Louis,Not Available,,,,,,,,,Uncoded,,,,56172001,Janitorial Services,,,,,,,734902,Janitor Service,201904,10
